id,subSite,siteCode,siteName,typeSite,numberOfPeople,penaltyRate,workDate,workingPeople,,
103,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/10/2025,2,,
104,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/11/2025,2,,
105,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,1/12/2025,0,,
106,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,13/1/2025,2,,
107,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,14/1/2025,2,,
108,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,15/1/2025,2,,
109,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,16/1/2025,2,,
110,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,17/1/2025,2,,
111,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,18/1/2025,2,,
112,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,19/1/2025,0,,
113,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,20/1/2025,2,,
114,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,21/1/2025,2,,
115,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,22/1/2025,2,,
116,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,23/1/2025,2,,
117,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,24/1/2025,2,,
118,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,25/1/2025,2,,
119,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,26/1/2025,0,,
120,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,27/1/2025,2,,
121,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,28/1/2025,2,,
122,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,29/1/2025,2,,
123,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,30/1/2025,2,,
124,66LML0011_3,66LML0011,NMT - สำนักงาน,ชดแรงภายในวัน,2,1500,31/1/2025,2,,
125,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/1/2025,0,,
126,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/2/2025,2,,
127,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/3/2025,2,,
128,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/4/2025,2,,
129,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/5/2025,0,,
130,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/6/2025,2,,
131,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/7/2025,2,,
132,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/8/2025,2,,
133,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/9/2025,2,,
134,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/10/2025,2,,
135,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/11/2025,2,,
136,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,1/12/2025,0,,
137,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,13/1/2025,2,,
138,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,14/1/2025,2,,
139,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,15/1/2025,2,,
140,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,16/1/2025,2,,
141,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,17/1/2025,2,,
142,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,18/1/2025,2,,
143,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,19/1/2025,0,,
144,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,20/1/2025,2,,
145,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,21/1/2025,2,,
146,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,22/1/2025,2,,
147,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,23/1/2025,2,,
148,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,24/1/2025,2,,
149,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,25/1/2025,2,,
150,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,26/1/2025,0,,
